,course_id,course_title,is_paid,price,num_subscribers,num_reviews,num_lectures,level,content_duration,subject,year
713,240256,Forex Breakout Profits: The Definitive Guide,True,25,521,60,27,All Levels,2.5,Business Finance,2014
714,931626,Learn to Trade With Fibonacci Tools,True,30,252,45,30,Intermediate Level,4.0,Business Finance,2016
715,663022,"Investing Internationally into Real Estate, Stocks and Bonds",True,200,1101,14,37,All Levels,2.0,Business Finance,2016
716,1196816,From 0 to 1: Bond Theory and Valuation,True,50,223,2,29,Beginner Level,4.0,Business Finance,2017
717,202290,Stock Market Mastery,True,20,135,2,25,All Levels,7.5,Business Finance,2014
718,690546,UK Self Assessment Tax Return Filing Online,True,20,23,7,6,All Levels,0.4666666666666667,Business Finance,2015
719,560218,Introduction to Financial Statements,True,40,112,1,14,Beginner Level,1.5,Business Finance,2015
720,253810,"IAS 8-Accounting Policies ,Changes in Accounting Estimates",False,0,2122,30,15,All Levels,2.5,Business Finance,2014
721,420926,CFA® Level 1 2014 – Financial Reporting and Analysis,True,50,152,2,102,All Levels,10.0,Business Finance,2015
722,382824,Investment Banking Operations : Securities Trade Life Cycle,True,30,267,9,10,All Levels,2.0,Business Finance,2015
723,73046,CFA Level I Foundation Course: Introduction to Quants,True,50,155,4,11,Beginner Level,5.0,Business Finance,2013
724,73860,Financial Risk Manager (FRM) Certification: Level I,True,50,87,25,113,All Levels,24.0,Business Finance,2013
725,191588,IAS 10 - Events After Reporting Date,False,0,2146,35,8,All Levels,1.0,Business Finance,2014
726,665866,Investment Portfolio Analysis with Excel,True,50,154,7,39,All Levels,9.0,Business Finance,2015
727,73068,Introduction to the CFA Program,False,0,4248,66,6,Beginner Level,1.0,Business Finance,2013
728,252950,Chartered Financial Analyst (CFA) - Level 1 - FRA,True,30,517,5,17,Beginner Level,14.5,Business Finance,2014
729,760990,Excel 4 Accounting & Bookkeeping - Master Lookup Functions,True,35,2638,140,12,All Levels,1.0,Business Finance,2016
730,874312,Cashflow Management for Small Businesses: A How To Guide,True,25,2914,11,5,All Levels,0.6166666666666667,Business Finance,2016
731,373716,Forex Basics (Professional Course Level),True,20,6050,34,25,All Levels,1.5,Business Finance,2014
732,1275790,Advanced Butterfly Spreads for Options Income Strategies,True,60,16,1,8,Expert Level,1.0,Business Finance,2017
733,836926,The Holy Grail of Auto Trading Forex Futures Stocks Revealed,True,50,3917,45,7,All Levels,1.0,Business Finance,2016
